Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
ON	ON Semiconductor Corporation	19.24	7934840530.76	n/a	n/a	Technology	Semiconductors	https://www.nasdaq.com/symbol/on
BPY	Brookfield Property Partners L.P.	19.16	7929532672.84	n/a	n/a	Finance	Real Estate	https://www.nasdaq.com/symbol/bpy
CGNX	Cognex Corporation	46.16	7918131533.2	n/a	1989	Capital Goods	Industrial Machinery/Components	https://www.nasdaq.com/symbol/cgnx
IEI	iShares 3-7 Year Treasury Bond ETF	125.88	7791972000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/iei
TER	Teradyne, Inc.	45.45	7789921020.9	n/a	n/a	Capital Goods	Electrical Products	https://www.nasdaq.com/symbol/ter
JAZZ	Jazz Pharmaceuticals plc	136.5	7785352848	n/a	2007	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/jazz
CZR	Caesars Entertainment Corporation	11.56	7776633466.48	n/a	2012	Consumer Services	Hotels/Resorts	https://www.nasdaq.com/symbol/czr
NWSA	News Corporation	13.25	7753396023	n/a	n/a	Consumer Services	Newspapers/Magazines	https://www.nasdaq.com/symbol/nwsa
NDSN	Nordson Corporation	134.54	7729357576.78	n/a	n/a	Capital Goods	Industrial Machinery/Components	https://www.nasdaq.com/symbol/ndsn
TECH	Bio-Techne Corp	203.44	7704832870.32	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	https://www.nasdaq.com/symbol/tech
MASI	Masimo Corporation	144.4	7704613331.2	n/a	2007	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	https://www.nasdaq.com/symbol/masi
IPGP	IPG Photonics Corporation	143.89	7646866130.37	n/a	2006	Technology	Semiconductors	https://www.nasdaq.com/symbol/ipgp
ARCC	Ares Capital Corporation	17.8	7588107960	n/a	2004	n/a	n/a	https://www.nasdaq.com/symbol/arcc
BRKR	Bruker Corporation	48.36	7583649663.72	n/a	n/a	Capital Goods	Biotechnology: Laboratory Analytical Instruments	https://www.nasdaq.com/symbol/brkr
ALNY	Alnylam Pharmaceuticals, Inc.	71.14	7579026386.92	n/a	2004	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/alny
QRVO	Qorvo, Inc.	63.46	7561228856.5	n/a	n/a	Technology	Semiconductors	https://www.nasdaq.com/symbol/qrvo
GH	Guardant Health, Inc.	86.63	7546570515.47	n/a	2018	Health Care	Medical Specialities	https://www.nasdaq.com/symbol/gh
COUP	Coupa Software Incorporated	120.39	7436585046.93	n/a	2016	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/coup
ETSY	Etsy, Inc.	61.79	7426193210.94	n/a	2015	Miscellaneous	Business Services	https://www.nasdaq.com/symbol/etsy
UHAL	Amerco	378.5	7421547758	n/a	n/a	Consumer Services	Rental/Leasing Companies	https://www.nasdaq.com/symbol/uhal
